"","Regionname","Price","Freq"
"1","Eastern Metropolitan","$0k-$200k",0
"2","Eastern Victoria","$0k-$200k",0
"3","Northern Metropolitan","$0k-$200k",3
"4","Northern Victoria","$0k-$200k",0
"5","South-Eastern Metropolitan","$0k-$200k",0
"6","Southern Metropolitan","$0k-$200k",3
"7","Western Metropolitan","$0k-$200k",8
"8","Western Victoria","$0k-$200k",0
"9","Eastern Metropolitan","$200k-$400k",14
"10","Eastern Victoria","$200k-$400k",2
"11","Northern Metropolitan","$200k-$400k",447
"12","Northern Victoria","$200k-$400k",21
"13","South-Eastern Metropolitan","$200k-$400k",28
"14","Southern Metropolitan","$200k-$400k",329
"15","Western Metropolitan","$200k-$400k",279
"16","Western Victoria","$200k-$400k",43
"17","Eastern Metropolitan","$400k-$600k",195
"18","Eastern Victoria","$400k-$600k",48
"19","Northern Metropolitan","$400k-$600k",1773
"20","Northern Victoria","$400k-$600k",79
"21","South-Eastern Metropolitan","$400k-$600k",199
"22","Southern Metropolitan","$400k-$600k",940
"23","Western Metropolitan","$400k-$600k",1334
"24","Western Victoria","$400k-$600k",47
"25","Eastern Metropolitan","$600k-$800k",618
"26","Eastern Victoria","$600k-$800k",72
"27","Northern Metropolitan","$600k-$800k",2177
"28","Northern Victoria","$600k-$800k",36
"29","South-Eastern Metropolitan","$600k-$800k",425
"30","Southern Metropolitan","$600k-$800k",1043
"31","Western Metropolitan","$600k-$800k",1669
"32","Western Victoria","$600k-$800k",4
"33","Eastern Metropolitan","$800k-$1000k",763
"34","Eastern Victoria","$800k-$1000k",35
"35","Northern Metropolitan","$800k-$1000k",1401
"36","Northern Victoria","$800k-$1000k",19
"37","South-Eastern Metropolitan","$800k-$1000k",343
"38","Southern Metropolitan","$800k-$1000k",934
"39","Western Metropolitan","$800k-$1000k",1162
"40","Western Victoria","$800k-$1000k",1
"41","Eastern Metropolitan","$1000k-$1200k",567
"42","Eastern Victoria","$1000k-$1200k",7
"43","Northern Metropolitan","$1000k-$1200k",716
"44","Northern Victoria","$1000k-$1200k",6
"45","South-Eastern Metropolitan","$1000k-$1200k",168
"46","Southern Metropolitan","$1000k-$1200k",794
"47","Western Metropolitan","$1000k-$1200k",504
"48","Western Victoria","$1000k-$1200k",1
"49","Eastern Metropolitan","$1200k-$1400k",497
"50","Eastern Victoria","$1200k-$1400k",0
"51","Northern Metropolitan","$1200k-$1400k",614
"52","Northern Victoria","$1200k-$1400k",4
"53","South-Eastern Metropolitan","$1200k-$1400k",100
"54","Southern Metropolitan","$1200k-$1400k",960
"55","Western Metropolitan","$1200k-$1400k",386
"56","Western Victoria","$1200k-$1400k",0
"57","Eastern Metropolitan","$1400k-$1600k",256
"58","Eastern Victoria","$1400k-$1600k",0
"59","Northern Metropolitan","$1400k-$1600k",284
"60","Northern Victoria","$1400k-$1600k",1
"61","South-Eastern Metropolitan","$1400k-$1600k",36
"62","Southern Metropolitan","$1400k-$1600k",777
"63","Western Metropolitan","$1400k-$1600k",200
"64","Western Victoria","$1400k-$1600k",0
"65","Eastern Metropolitan","$1600k-$1800k",150
"66","Eastern Victoria","$1600k-$1800k",0
"67","Northern Metropolitan","$1600k-$1800k",187
"68","Northern Victoria","$1600k-$1800k",0
"69","South-Eastern Metropolitan","$1600k-$1800k",17
"70","Southern Metropolitan","$1600k-$1800k",688
"71","Western Metropolitan","$1600k-$1800k",133
"72","Western Victoria","$1600k-$1800k",0
"73","Eastern Metropolitan","$1800k-$2000k",82
"74","Eastern Victoria","$1800k-$2000k",1
"75","Northern Metropolitan","$1800k-$2000k",109
"76","Northern Victoria","$1800k-$2000k",0
"77","South-Eastern Metropolitan","$1800k-$2000k",14
"78","Southern Metropolitan","$1800k-$2000k",568
"79","Western Metropolitan","$1800k-$2000k",57
"80","Western Victoria","$1800k-$2000k",0
"81","Eastern Metropolitan","$2000k-$3000k",114
"82","Eastern Victoria","$2000k-$3000k",1
"83","Northern Metropolitan","$2000k-$3000k",124
"84","Northern Victoria","$2000k-$3000k",0
"85","South-Eastern Metropolitan","$2000k-$3000k",10
"86","Southern Metropolitan","$2000k-$3000k",1094
"87","Western Metropolitan","$2000k-$3000k",77
"88","Western Victoria","$2000k-$3000k",0
"89","Eastern Metropolitan","$3000k-$4000k",14
"90","Eastern Victoria","$3000k-$4000k",0
"91","Northern Metropolitan","$3000k-$4000k",21
"92","Northern Victoria","$3000k-$4000k",0
"93","South-Eastern Metropolitan","$3000k-$4000k",0
"94","Southern Metropolitan","$3000k-$4000k",270
"95","Western Metropolitan","$3000k-$4000k",5
"96","Western Victoria","$3000k-$4000k",0
"97","Eastern Metropolitan","$4000k-$5000k",2
"98","Eastern Victoria","$4000k-$5000k",0
"99","Northern Metropolitan","$4000k-$5000k",5
"100","Northern Victoria","$4000k-$5000k",0
"101","South-Eastern Metropolitan","$4000k-$5000k",0
"102","Southern Metropolitan","$4000k-$5000k",70
"103","Western Metropolitan","$4000k-$5000k",1
"104","Western Victoria","$4000k-$5000k",0
"105","Eastern Metropolitan","$5000k-$20000k",0
"106","Eastern Victoria","$5000k-$20000k",0
"107","Northern Metropolitan","$5000k-$20000k",3
"108","Northern Victoria","$5000k-$20000k",0
"109","South-Eastern Metropolitan","$5000k-$20000k",1
"110","Southern Metropolitan","$5000k-$20000k",54
"111","Western Metropolitan","$5000k-$20000k",0
"112","Western Victoria","$5000k-$20000k",0
