"","x"
"1","Abbotsford"
"2","Aberfeldie"
"3","Airport West"
"4","Albanvale"
"5","Albert Park"
"6","Albion"
"7","Alphington"
"8","Altona"
"9","Altona Meadows"
"10","Altona North"
"11","Ardeer"
"12","Armadale"
"13","Ascot Vale"
"14","Ashburton"
"15","Ashwood"
"16","Aspendale"
"17","Aspendale Gardens"
"18","Attwood"
"19","Avondale Heights"
"20","Avonsleigh"
"21","Bacchus Marsh"
"22","Balaclava"
"23","Balwyn"
"24","Balwyn North"
"25","Bayswater"
"26","Bayswater North"
"27","Beaconsfield"
"28","Beaconsfield Upper"
"29","Beaumaris"
"30","Belgrave"
"31","Bellfield"
"32","Bentleigh"
"33","Bentleigh East"
"34","Berwick"
"35","Black Rock"
"36","Blackburn"
"37","Blackburn North"
"38","Blackburn South"
"39","Bonbeach"
"40","Boronia"
"41","Botanic Ridge"
"42","Box Hill"
"43","Braybrook"
"44","Briar Hill"
"45","Brighton"
"46","Brighton East"
"47","Broadmeadows"
"48","Brookfield"
"49","Brooklyn"
"50","Brunswick"
"51","Brunswick East"
"52","Brunswick West"
"53","Bulla"
"54","Bulleen"
"55","Bullengarook"
"56","Bundoora"
"57","Burnley"
"58","Burnside"
"59","Burnside Heights"
"60","Burwood"
"61","Burwood East"
"62","Cairnlea"
"63","Camberwell"
"64","Campbellfield"
"65","Canterbury"
"66","Carlton"
"67","Carlton North"
"68","Carnegie"
"69","Caroline Springs"
"70","Carrum"
"71","Carrum Downs"
"72","Caulfield"
"73","Caulfield East"
"74","Caulfield North"
"75","Caulfield South"
"76","Chadstone"
"77","Chelsea"
"78","Chelsea Heights"
"79","Cheltenham"
"80","Chirnside Park"
"81","Clarinda"
"82","Clayton"
"83","Clayton South"
"84","Clifton Hill"
"85","Clyde North"
"86","Coburg"
"87","Coburg North"
"88","Coldstream"
"89","Collingwood"
"90","Coolaroo"
"91","Craigieburn"
"92","Cranbourne"
"93","Cranbourne East"
"94","Cranbourne North"
"95","Cranbourne West"
"96","Cremorne"
"97","croydon"
"98","Croydon"
"99","Croydon Hills"
"100","Croydon North"
"101","Croydon South"
"102","Dallas"
"103","Dandenong"
"104","Dandenong North"
"105","Darley"
"106","Deepdene"
"107","Deer Park"
"108","Delahey"
"109","Derrimut"
"110","Diamond Creek"
"111","Diggers Rest"
"112","Dingley Village"
"113","Docklands"
"114","Doncaster"
"115","Doncaster East"
"116","Donvale"
"117","Doreen"
"118","Doveton"
"119","Eaglemont"
"120","East Melbourne"
"121","Edithvale"
"122","Elsternwick"
"123","Eltham"
"124","Eltham North"
"125","Elwood"
"126","Emerald"
"127","Endeavour Hills"
"128","Epping"
"129","Essendon"
"130","Essendon North"
"131","Essendon West"
"132","Eumemmerring"
"133","Eynesbury"
"134","Fairfield"
"135","Fawkner"
"136","Fawkner Lot"
"137","Ferntree Gully"
"138","Ferny Creek"
"139","Fitzroy"
"140","Fitzroy North"
"141","Flemington"
"142","Footscray"
"143","Forest Hill"
"144","Frankston"
"145","Frankston North"
"146","Frankston South"
"147","Gardenvale"
"148","Gisborne"
"149","Gisborne South"
"150","Gladstone Park"
"151","Glen Huntly"
"152","Glen Iris"
"153","Glen Waverley"
"154","Glenroy"
"155","Gowanbrae"
"156","Greensborough"
"157","Greenvale"
"158","Guys Hill"
"159","Hadfield"
"160","Hallam"
"161","Hampton"
"162","Hampton East"
"163","Hampton Park"
"164","Hawthorn"
"165","Hawthorn East"
"166","Healesville"
"167","Heatherton"
"168","Heathmont"
"169","Heidelberg"
"170","Heidelberg Heights"
"171","Heidelberg West"
"172","Highett"
"173","Hillside"
"174","Hopetoun Park"
"175","Hoppers Crossing"
"176","Hughesdale"
"177","Huntingdale"
"178","Hurstbridge"
"179","Ivanhoe"
"180","Ivanhoe East"
"181","Jacana"
"182","Kalkallo"
"183","Kealba"
"184","Keilor"
"185","Keilor Downs"
"186","Keilor East"
"187","Keilor Lodge"
"188","Keilor Park"
"189","Kensington"
"190","Kew"
"191","Kew East"
"192","Keysborough"
"193","Kilsyth"
"194","Kings Park"
"195","Kingsbury"
"196","Kingsville"
"197","Knoxfield"
"198","Kooyong"
"199","Kurunjang"
"200","Lalor"
"201","Langwarrin"
"202","Laverton"
"203","Lilydale"
"204","Lower Plenty"
"205","Lynbrook"
"206","Lysterfield"
"207","MacLeod"
"208","Maidstone"
"209","Malvern"
"210","Malvern East"
"211","Maribyrnong"
"212","McKinnon"
"213","Meadow Heights"
"214","Melbourne"
"215","Melton"
"216","Melton South"
"217","Melton West"
"218","Mentone"
"219","Menzies Creek"
"220","Mernda"
"221","Mickleham"
"222","Middle Park"
"223","Mill Park"
"224","Mitcham"
"225","Monbulk"
"226","Mont Albert"
"227","Montmorency"
"228","Montrose"
"229","Moonee Ponds"
"230","Moorabbin"
"231","Mooroolbark"
"232","Mordialloc"
"233","Mount Evelyn"
"234","Mount Waverley"
"235","Mulgrave"
"236","Murrumbeena"
"237","Narre Warren"
"238","New Gisborne"
"239","Newport"
"240","Niddrie"
"241","Noble Park"
"242","North Melbourne"
"243","North Warrandyte"
"244","Northcote"
"245","Notting Hill"
"246","Nunawading"
"247","Oak Park"
"248","Oakleigh"
"249","Oakleigh East"
"250","Oakleigh South"
"251","Officer"
"252","Olinda"
"253","Ormond"
"254","Pakenham"
"255","Parkdale"
"256","Parkville"
"257","Pascoe Vale"
"258","Patterson Lakes"
"259","Plenty"
"260","Plumpton"
"261","Point Cook"
"262","Port Melbourne"
"263","Prahran"
"264","Preston"
"265","Princes Hill"
"266","Research"
"267","Reservoir"
"268","Richmond"
"269","Riddells Creek"
"270","Ringwood"
"271","Ringwood East"
"272","Ringwood North"
"273","Ripponlea"
"274","Rockbank"
"275","Rosanna"
"276","Rowville"
"277","Roxburgh Park"
"278","Sandhurst"
"279","Sandringham"
"280","Scoresby"
"281","Seabrook"
"282","Seaford"
"283","Seaholme"
"284","Seddon"
"285","Silvan"
"286","Skye"
"287","South Kingsville"
"288","South Melbourne"
"289","South Morang"
"290","South Yarra"
"291","Southbank"
"292","Spotswood"
"293","Springvale"
"294","Springvale South"
"295","St Albans"
"296","St Helena"
"297","St Kilda"
"298","Strathmore"
"299","Strathmore Heights"
"300","Sunbury"
"301","Sunshine"
"302","Sunshine North"
"303","Sunshine West"
"304","Surrey Hills"
"305","Sydenham"
"306","Tarneit"
"307","Taylors Hill"
"308","Taylors Lakes"
"309","Tecoma"
"310","Templestowe"
"311","Templestowe Lower"
"312","The Basin"
"313","Thomastown"
"314","Thornbury"
"315","Toorak"
"316","Travancore"
"317","Truganina"
"318","Tullamarine"
"319","Upwey"
"320","Vermont"
"321","Vermont South"
"322","viewbank"
"323","Viewbank"
"324","Wallan"
"325","Wandin North"
"326","Wantirna"
"327","Wantirna South"
"328","Warrandyte"
"329","Warranwood"
"330","Waterways"
"331","Watsonia"
"332","Watsonia North"
"333","Wattle Glen"
"334","Werribee"
"335","Werribee South"
"336","West Footscray"
"337","West Melbourne"
"338","Westmeadows"
"339","Wheelers Hill"
"340","Whittlesea"
"341","Wildwood"
"342","Williams Landing"
"343","Williamstown"
"344","Williamstown North"
"345","Windsor"
"346","Wollert"
"347","Wonga Park"
"348","Wyndham Vale"
"349","Yallambie"
"350","Yarra Glen"
"351","Yarraville"
